t,x_ECI,y_ECI,z_ECI,vx_ECI,vy_ECI,vz_ECI,x_ECEF,y_ECEF,z_ECEF,vx_ECEF,vy_ECEF,vz_ECEF,lambda,phi
1560,-2029.301218306292,-5266.511404797105,4246.620256138991,0.35888996306507714,4.622971655825396,5.906273659637449,-2613.9964086906753,-5002.1224082212975,4246.620256138991,0.4972921326493418,4.700332498053104,5.906273659637449,-117.59055377779893,36.95851562948108
1590,-2017.4922422405075,-5125.0395385803085,4421.7675801666255,0.4276220145505447,4.799465127656778,5.75904695753449,-2596.8370934269255,-4857.236079265048,4421.7675801666255,0.6062534300184473,4.864889664253368,5.75904695753449,-118.13041574182635,38.757960811914835
1620,-2003.625842995221,-4978.340861064681,4592.406223739829,0.4959175765188758,4.9710631850441445,5.605948233514226,-2576.397402353647,-4707.501531896714,4592.406223739829,0.7153130052138401,5.024076335935994,5.605948233514226,-118.69171749856919,40.55586083987987
1650,-1987.716173511253,-4826.565102375874,4758.362022060556,0.5637071285402483,5.137591181514603,5.44713338468881,-2552.6772601597077,-4553.085226456274,4758.362022060556,0.8243370736189828,5.177732780978305,5.44713338468881,-119.277074295048,42.35202796405512
1680,-1969.779472222727,-4669.86717463582,4919.465589944459,0.6309216648176882,5.298879620434481,5.282764109764297,-2525.6806627675637,-4394.1583707978925,4919.465589944459,0.9331911918525485,5.325705398535814,5.282764109764297,-119.8894897801746,44.146245929387014
1710,-1949.834046483079,-4508.407013849454,5075.552494706313,0.6974927638670709,5.454764326084064,5.113007745621582,-2495.415693625998,-4230.896728514726,5075.552494706313,1.0417404197574414,5.467846874183446,5.113007745621582,-120.53243345670225,45.9382641934427
1740,-1927.9002538793886,-4342.349416663687,5226.4634239906345,0.7633526576112806,5.605086609411043,4.938037098268857,-2461.8945350010695,-4063.480422475239,5226.4634239906345,1.1498494835738025,5.604016328126456,4.938037098268857,-121.20993688124986,47.72779071430259
1770,-1904.0004814541167,-4171.863872165356,5372.044348376108,0.8284342998209674,5.749693428300744,4.758030268331072,-2425.13347423382,-3892.0937338926756,5372.044348376108,1.2573829401052712,5.734079456333943,4.758030268331072,-121.92671406407686,49.514482880040276
1800,-1878.159122855448,-3997.1243888897234,5512.146678587983,0.8926714338350568,5.888437542206557,4.573170471246887,-2385.1529049392966,-3716.9248971538045,5512.146678587983,1.3642053416862638,5.857908664455591,4.573170471246887,-122.68831336905299,51.297936001202736
1830,-1850.4025534395569,-3818.3093172161534,5646.627417157823,0.9559986594947351,6.0211776609890695,4.3836458523486534,-2341.9773231276336,-3538.1658906375833,5646.627417157823,1.470181401756417,5.975383194389595,4.3836458523486534,-123.50131078100618,53.0776685756052
1860,-1820.759103350223,-3635.6011673322137,5775.349304375972,1.0183514992254323,6.147778587817881,4.189649297005674,-2295.635318234105,-3356.0122237584687,5775.349304375972,1.575176160847186,6.086389243377592,4.189649297005674,-124.37355800509361,54.853103232560095
1890,-1789.2590286032591,-3449.1864229520297,5898.180958387633,1.0796664632020603,6.268111355995561,3.9913782360157084,-2246.1595590512698,-3170.6627204730403,5898.180958387633,1.6790551527844912,6.190820075510136,3.9913782360157084,-125.31450395294674,56.623541827684505
1920,-1755.9344802052715,-3259.255350978966,6014.997009289684,1.1398811135336278,6.3820533595688484,3.7890344464341426,-2193.5867745625364,-2982.31929949211,6014.997009289684,1.7816845709104938,6.288576125534172,3.7890344464341426,-126.33561543927597,58.38813252219081
1950,-1720.819471338268,-3066.001807306974,6125.678227091262,1.1989341274042102,6.489488477597906,3.582823848034655,-2137.9577296827615,-2791.186751443959,6125.678227091262,1.8829314341269061,6.379565094861958,3.582823848034655,-127.4509333827505,60.14582573638747
1980,-1683.949842643618,-2869.623038958777,6230.111643407586,1.2567653591082373,6.590307191960383,3.37295629559929,-2079.3171959177275,-2597.472513237303,6230.111643407586,1.9826637525619075,6.463702039689019,3.37295629559929,-128.67781599698108,61.89531444843741
